,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,5.5,1.865978,1.279872,43.59106,0,0.4794189,0.4794189,21,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,2.5,5.5,1.934836,0.431318,45.52591,0,0.4310878,0.4705295,22,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,5.5,2.158004,1.409279,47.6839,0,0.498461,0.498461,23,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,2.5,11,2.306065,0.6886887,49.98996,0,0.4992165,5.98791,24,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,5.5,1.633948,0.6026078,51.62391,0,0.4504125,1.193886,25,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,2.5,5.5,1.364937,0.4318113,52.98885,0,0.4845992,0.4845992,26,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,11,1.921354,0.4305538,54.9102,0,0.4476649,1.096339,27,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,5,5.5,2.076178,0.7931111,56.98639,0,0.4622861,0.4622861,28,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,0,11,2.684686,0.5610196,59.67108,0,0.4474502,0.9340162,29,,,,,,,,,,
W3,7/27/2022 15:01,1,WRIST_ARM,GS2,G,5,11,2.255605,0.8794225,61.92667,0,0.4792071,0.4792071,30,2.064221433,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,0,11,3.522672,0.8794225,3.522672,2,0.4255212,0.4255212,1,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,2.5,11,1.976737,0.2227892,5.49941,0,0.4439333,5.782032,2,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,0,5.5,1.419701,0.7007833,6.919111,0,0.4514495,0.4514495,3,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,5,11,4.121079,0.7958377,11.04019,1,0.4831178,8.889128,4,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,0,11,2.241611,0.5301966,13.2818,0,0.4428163,0.4428163,5,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,0,5.5,1.463384,0.2851299,14.74518,0,0.4535928,0.4535928,6,,,,,,,,,,
