,participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time_o,checkpoint_time,object_view_time,,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
,2,WRIST_ARM,GS2,G,0,10.5,3.091431,3.091431,0.5953209,,0,0.3144518,3.857556,9.982015,-0.03149211,353.6086,W3,C0,29
,2,WRIST_ARM,GS2,G,5,7.5,2.226177,2.226177,0.3751454,,0,0.2652391,15.00987,7.032489,-4.770507,324.074,W3,C0,30
,3,WRIST_ARM,GS2,G,0,10.5,3.589952,3.589952,7.220972,,3,0.3455409,3.095553,9.951491,-0.2032305,354.9791,W3,C0,1
,3,WRIST_ARM,GS2,G,5,7.5,1.846844,1.846844,0.5979955,,0,0.2771246,15.18776,7.002488,-4.91066,328.2359,W3,C0,2
,3,WRIST_ARM,GS2,G,0,10.5,2.579875,2.579875,0.7293006,,1,0.2771246,15.18776,9.951653,4.666183,11.51966,W3,C0,3
,3,WRIST_ARM,GS2,G,0,10.5,1.780253,1.780253,0.557001,,0,0.2723901,0.2723901,0.4789544,-0.1374117,351.3009,W3,C0,4
,3,WRIST_ARM,GS2,G,5,7.5,1.893954,1.893954,0.6695359,,0,0.2906475,0.3181665,6.893754,-4.870929,326.9969,W3,C0,5
,3,WRIST_ARM,GS2,G,0,10.5,2.099364,2.099364,0.6691546,,0,0.3389172,0.3389172,10.0478,4.716941,4.774109,W3,C0,6
,3,WRIST_ARM,GS2,G,5,10.5,2.716674,2.716674,0.4613343,,0,0.3389172,0.3389172,9.966845,-4.849781,327.3283,W3,C0,7
,3,WRIST_ARM,GS2,G,0,7.5,2.003097,2.003097,0.4867648,,0,0.2443587,0.2443587,7.11062,4.666279,8.307708,W3,C0,8
,3,WRIST_ARM,GS2,G,5,10.5,2.159466,2.159466,0.3357094,,0,0.2443587,0.2443587,9.934414,-4.899888,329.4712,W3,C0,9
,3,WRIST_ARM,GS2,G,0,7.5,1.905648,1.905648,0.3890836,,1,0.2423825,0.2423825,0.3490682,-0.3452208,16.6674,W3,C0,10
,3,WRIST_ARM,GS2,G,5,10.5,2.256166,2.256166,0.5306396,,0,0.2567073,12.73612,9.881438,-4.834579,329.6513,W3,C0,11
,3,WRIST_ARM,GS2,G,0,7.5,2.018613,2.018613,0.4097325,,0,0.2567073,12.73612,7.102654,4.656223,17.54459,W3,C0,12
,3,WRIST_ARM,GS2,G,0,7.5,2.743729,2.743729,0.6000577,,2,0.2567073,12.73612,6.974484,-0.1807774,1.775558,W3,C0,13
,3,WRIST_ARM,GS2,G,5,7.5,2.479986,2.479986,0.8754625,,0,0.2503404,0.2503404,7.003216,-4.893819,327.7331,W3,C0,14
,3,WRIST_ARM,GS2,G,0,7.5,1.640164,1.640164,0.6017201,,0,0.3669214,0.2866953,6.992406,4.594404,25.36289,W3,C0,15
,3,WRIST_ARM,GS2,G,0,10.5,1.545514,1.545514,0.3343956,,0,0.3669214,0.2866953,10.01402,-0.1697698,353.7341,W3,C0,16
,3,WRIST_ARM,GS2,G,5,10.5,2.061253,2.061253,0.3906079,,0,0.3669214,0.2866953,9.920348,-4.880752,329.3152,W3,C0,17
,3,WRIST_ARM,GS2,G,0,10.5,4.274301,4.274301,0.5143085,,2,0.2689022,0.2689022,10.04702,4.721205,4.047534,W3,C0,18
,3,WRIST_ARM,GS2,G,0,7.5,2.505155,2.505155,0.8631213,,1,0.2416935,2.522465,6.878301,-0.2367312,6.864608,W3,C0,19
,3,WRIST_ARM,GS2,G,0,7.5,1.532969,1.532969,0.6546214,,0,0.2416935,2.522465,7.023872,-0.2322516,358.5047,W3,C0,20
,3,WRIST_ARM,GS2,G,5,7.5,1.6145,1.6145,0.5697551,,0,0.2535071,0.3093129,6.896523,-4.863533,328.3962,W3,C0,21
,3,WRIST_ARM,GS2,G,0,10.5,5.57031,5.57031,0.4725741,,3,0.2535071,0.3093129,0.3884664,-0.2913315,4.454765,W3,C0,22
,3,WRIST_ARM,GS2,G,0,7.5,2.15559,2.15559,0.6036112,,0,0.2058984,3.865501,6.924524,-0.2145852,2.941331,W3,C0,23
,3,WRIST_ARM,GS2,G,0,10.5,1.742184,1.742184,0.3482082,,0,0.2419915,0.2419915,0.4935254,-0.1739725,352.6041,W3,C0,24
,3,WRIST_ARM,GS2,G,0,10.5,1.89297,1.89297,0.7087936,,0,0.2848929,3.585387,9.875751,-0.1345237,356.3768,W3,C0,25
,3,WRIST_ARM,GS2,G,0,7.5,1.504833,1.504833,0.6998717,,0,0.2848929,3.585387,7.025388,-0.1996136,356.0647,W3,C0,26
,3,WRIST_ARM,GS2,G,0,10.5,2.086746,2.086746,0.6247354,,1,0.2848929,3.585387,9.907744,-0.1853021,359.6016,W3,C0,27
,3,WRIST_ARM,GS2,G,5,7.5,2.46643,2.46643,0.8769857,,1,0.2848929,3.585387,6.991805,-4.939834,327.9102,W3,C0,28
,3,WRIST_ARM,GS2,G,0,7.5,2.072371,2.072371,1.25038,,0,0.2848929,3.585387,7.007482,4.623784,24.21808,W3,C0,29
,3,WRIST_ARM,GS2,G,5,10.5,2.396164,2.396164,0.4870512,,0,0.2565062,0.2565062,10.00326,-4.881712,327.719,W3,C0,30
,3,WRIST_ARM,GS2,G,0,7.5,2.146063,2.146063,0.4870512,,10,0.2481139,0.2481139,7.035822,-0.2725762,358.8423,W3,C0,1
,3,WRIST_ARM,GS2,G,0,7.5,1.473494,1.473494,0.4590308,,0,0.3027235,2.743797,7.097685,-0.2200321,354.8038,W3,C0,2
,3,WRIST_ARM,GS2,G,0,10.5,1.617487,1.617487,0.3642195,,0,0.2522069,0.2522069,0.51293,-0.1971622,353.8447,W3,C0,3
,3,WRIST_ARM,GS2,G,5,10.5,2.599541,2.599541,0.3468966,,0,0.2625798,12.55348,10.00246,-4.914212,328.4489,W3,C0,4
,3,WRIST_ARM,GS2,G,0,7.5,2.202685,2.202685,0.8411389,,0,0.2858863,0.2858863,7.019855,4.628851,22.55032,W3,C0,5
